orchard_id,latitude,longitude,ndvi,year,doy,Municipality
X12,41.10728836,36.68497849,0.4924,2012,17,Samsun
X12,41.10728836,36.68497849,0.4995,2012,33,Samsun
X12,41.10728836,36.68497849,0.4376,2012,49,Samsun
X12,41.10728836,36.68497849,0.4455,2012,65,Samsun
X12,41.10728836,36.68497849,0.5091,2012,81,Samsun
X12,41.10728836,36.68497849,0.8091,2012,97,Samsun
X12,41.10728836,36.68497849,0.7995,2012,113,Samsun
X12,41.10728836,36.68497849,0.8487,2012,129,Samsun
X12,41.10728836,36.68497849,0.8684,2012,145,Samsun
X12,41.10728836,36.68497849,0.856,2012,161,Samsun
X12,41.10728836,36.68497849,0.8639,2012,177,Samsun
X12,41.10728836,36.68497849,0.8566,2012,193,Samsun
X12,41.10728836,36.68497849,0.8609,2012,209,Samsun
X12,41.10728836,36.68497849,0.8186,2012,225,Samsun
X12,41.10728836,36.68497849,0.8552,2012,241,Samsun
X12,41.10728836,36.68497849,0.7505,2012,257,Samsun
X12,41.10728836,36.68497849,0.6829,2012,273,Samsun
X12,41.10728836,36.68497849,0.6211,2012,289,Samsun
X12,41.10728836,36.68497849,0.5858,2012,305,Samsun
X12,41.10728836,36.68497849,0.5527,2012,321,Samsun
X12,41.10728836,36.68497849,0.4856,2012,337,Samsun
X12,41.10728836,36.68497849,0.5034,2012,353,Samsun
X12,41.10728836,36.68497849,0.5034,2013,1,Samsun
X12,41.10728836,36.68497849,0.4548,2013,17,Samsun
X12,41.10728836,36.68497849,0.516,2013,33,Samsun
X12,41.10728836,36.68497849,0.5077,2013,49,Samsun
X12,41.10728836,36.68497849,0.5219,2013,65,Samsun
X12,41.10728836,36.68497849,0.6432,2013,81,Samsun
X12,41.10728836,36.68497849,0.809,2013,97,Samsun
X12,41.10728836,36.68497849,0.8242,2013,113,Samsun
X12,41.10728836,36.68497849,0.8361,2013,129,Samsun
X12,41.10728836,36.68497849,0.8252,2013,145,Samsun
X12,41.10728836,36.68497849,0.8186,2013,161,Samsun
X12,41.10728836,36.68497849,0.8211,2013,177,Samsun
X12,41.10728836,36.68497849,0.7984,2013,193,Samsun
X12,41.10728836,36.68497849,0.8452,2013,209,Samsun
X12,41.10728836,36.68497849,0.81,2013,225,Samsun
X12,41.10728836,36.68497849,0.8017,2013,241,Samsun
